id,code,round,object,response,creativity score,created time
pro45654,cog111,1,ball,sdfdf,1.9,2023-07-22 10:19:49
pro45654,cog111,1,ball,sdasd,1.3,2023-07-22 10:20:20
pro45654,cog111,1,ball,sdfsdf,1.9,2023-07-22 10:20:24
pro45654,cog111,1,knife,ghjghj,1.3,2023-07-22 10:20:28
pro45654,cog111,1,knife,tyutyu,1.3,2023-07-22 10:20:32
pro45654,cog111,1,knife,rtyrtyrt5,1.3,2023-07-22 10:20:36
pro45654,cog111,1,pencil,dfgdfg,1.3,2023-07-22 10:20:41
pro45654,cog111,1,pencil,ertert,2.0,2023-07-22 10:20:45
pro45654,cog111,1,pencil,jhghjhgh,1.6,2023-07-22 10:20:49
pro45654,cog111,2,tire,dfgdfg,1.3,2023-07-22 10:20:55
pro45654,cog111,2,tire,ertert,1.3,2023-07-22 10:20:58
pro45654,cog111,2,tire,hjghj,1.3,2023-07-22 10:21:01
pro45654,cog111,2,pants,ergertg,2.0,2023-07-22 10:21:05
pro45654,cog111,2,pants,ersfgsdf,1.3,2023-07-22 10:21:09
pro45654,cog111,2,pants,werwer,1.3,2023-07-22 10:21:12
pro45654,cog111,2,bottle,sdfsdf,1.6,2023-07-22 10:21:16
pro45654,cog111,2,bottle,eretr,1.8,2023-07-22 10:21:19
pro45654,cog111,2,bottle,ghjgh,1.7,2023-07-22 10:21:22
pro45654,cog111,2,shoe,ertert,2.8,2023-07-22 10:21:26
pro45654,cog111,2,shoe,dfgdfg,1.2,2023-07-22 10:21:29
pro45654,cog111,2,shoe,ertgert,1.3,2023-07-22 10:21:32
pro45654,cog111,2,table,sdfsdf,2.0,2023-07-22 10:21:35
pro45654,cog111,2,table,sdfsdf,2.0,2023-07-22 10:21:38
pro45654,cog111,2,table,werwer,2.0,2023-07-22 10:21:41
pro45654,cog111,3,fork,sdfsdf,1.6,2023-07-22 10:21:46
pro45654,cog111,3,fork,dfgdfg,1.8,2023-07-22 10:21:50
pro45654,cog111,3,fork,dfgert,1.5,2023-07-22 10:21:53
pro45654,cog111,3,lightbulb,werwerwe,2.7,2023-07-22 10:21:57
pro45654,cog111,3,lightbulb,fsdfsd,2.7,2023-07-22 10:22:00
pro45654,cog111,3,lightbulb,4rrewr,2.1,2023-07-22 10:22:03
pro45654,cog111,3,toothbrush,hjkghj,2.7,2023-07-22 10:22:08
pro45654,cog111,3,toothbrush,asdfadsf,2.4,2023-07-22 10:22:11
pro45654,cog111,3,toothbrush,werwe,2.4,2023-07-22 10:22:14
